cluster,0,1,2,3,4,5,6
0,1.01,-0.14,-0.29,0.87,0.01,-0.13,-0.18
1,-0.09,-0.56,0.96,-0.09,-0.04,0.03,0.01
2,-0.38,1.7,0.17,-0.03,-0.03,0.01,0.01
3,-1.3,-0.43,-0.41,-0.0,0.04,0.01,-0.0
4,1.14,-0.14,-0.41,-0.57,0.02,0.06,0.12
