cluster,purchase,0,1,2,3,4,5,6
0,False,-0.4378805955390862,1.7944176321655865,0.22266437673287617,-0.4480368088472964,-0.0412440749546182,0.2916394730933336,-0.03357788640507985
0,True,-0.25347855448869244,1.5983314774283401,0.11194987111601451,0.06505709057922257,-0.041844250786878305,-0.2563053492349432,-0.13473009682993775
1,False,-0.09035495719033228,-0.6509969598853552,0.9286728096330845,-0.33682812458567835,-0.0878581723063526,0.15852872230970927,-0.11868107412489669
1,True,-0.009685361406423825,-0.40911295370555995,0.9523809379733189,-0.046916920402907576,0.03453134421174521,-0.29561931611342873,-0.1227245085164136
2,False,1.042521377275469,-0.30455888609000237,-0.4012342235580976,-0.5273493017626731,0.01588206944791597,0.48402811319930833,0.029325420728775923
2,True,1.1387762933372692,-0.013955519740424333,-0.4066098325711795,-0.6918549211249886,0.00114919249391038,-0.49794687164235396,0.11953564020723573
3,False,-1.3103888379786521,-0.5446736819836616,-0.39475948585552134,-0.3328143625449418,-0.02876507387539508,0.12413803196750185,-0.14670226466243372
3,True,-1.2075379164597253,-0.28597252155127795,-0.447504255790882,0.03654022446935318,0.12568005464203755,-0.27062493672286236,-0.15917754760796662
4,False,0.865219258706355,-0.6452657314641058,-0.3065357279079923,0.8180469537613143,-0.07261846500826594,-0.10832826268060844,-0.24773647512568464
4,True,1.0129534485873075,-0.016595400660768228,-0.29358075012394913,0.7732956950402584,0.018385805852819893,-0.10230471114800024,-0.3327667312134299
