cluster,purchase,0,1,2,3,4,5,6
0,False,0.8671389854543463,-0.6456195666788375,-0.30424943469955357,0.8179585586676733,-0.07135817472203584,-0.10818240455004181,-0.24744398028156517
0,True,1.0140255517342704,-0.016444869968664316,-0.2939612368146879,0.7730247217997145,0.017887760058179252,-0.10231664340075874,-0.3333210279399669
1,False,-0.09420666389735284,-0.6519802641419697,0.9260557559439604,-0.3331542509494503,-0.08818876266464507,0.15684309019879267,-0.11775967496161073
1,True,-0.013933770098865835,-0.4083413371481388,0.949027937037883,-0.04265305991546601,0.033202280801556426,-0.2943212919026331,-0.1216620688147463
2,False,-0.43784080626195865,1.7940717478297976,0.22279715204429135,-0.44810864856222116,-0.04134481093707519,0.29191741046102493,-0.0337163082538548
2,True,-0.25308104235311857,1.5981860242307226,0.11196045739505107,0.06469062419390256,-0.04142234937923096,-0.25636911443439697,-0.1342779985411979
3,False,-1.3130392941988376,-0.5437576445129274,-0.39655955834379975,-0.3358867574939087,-0.02858875711095088,0.12455616873583587,-0.1474589616588119
3,True,-1.2092658391090012,-0.2859760398049025,-0.4498656011725952,0.03530840269588369,0.1272648763050781,-0.27109402896582896,-0.15973721945516656
4,False,1.042079001621174,-0.30498888243273753,-0.3988718778588385,-0.5276236821524655,0.015750447809065905,0.4845189183025982,0.028697978304487705
4,True,1.138891201535856,-0.014445092666591696,-0.40583372974209775,-0.6921472025577393,0.0012217525334987382,-0.49811756139606084,0.11903576290642934
