cluster,1,2,3,4,5,6,7
0,-0.68,0.79,-0.5,0.17,-0.03,0.01,-0.01
1,0.7,-0.58,-0.02,-0.36,-0.26,0.01,0.0
2,-0.34,-0.58,1.21,0.07,0.11,-0.0,0.01
3,1.29,0.02,-0.39,0.26,0.65,-0.03,-0.0
4,-0.66,-0.61,-0.47,0.18,-0.02,-0.0,0.01
5,0.68,0.82,-0.04,-0.37,-0.26,0.01,-0.01
6,-0.37,0.82,1.18,0.06,0.11,-0.0,-0.01
