cluster,0,1,2,3,4,5,6
0,0.99,-0.14,-0.3,0.78,0.0,-0.1,-0.32
1,-0.06,-0.55,0.94,-0.21,-0.04,-0.03,-0.12
2,-0.33,1.68,0.16,-0.15,-0.04,-0.03,-0.09
3,-1.27,-0.43,-0.42,-0.17,0.04,-0.05,-0.15
4,1.09,-0.15,-0.4,-0.62,0.01,-0.05,0.08
